TOPIC,CONTENT,DESCRIPTION
PERI PERI FRENCH FRIES
VEG BURGER
WATERMELON MOJITO
	-the brand chimp
----
item name: Green Amla Mint
	-the brand chimp
----
same as Reference
caption:
""Chai-derful Mom Deserves the Best Brew on Mother's Day!""
	-the brand chimp
----
same as reference

Item names:

Ginger Tea
Masala Tea
Elachi Tea
Bellam Tea
Badam Tea
	-the brand chimp
----
same as reference..

instead of chaibar bar 
write One Two Tea
	-the brand chimp
----
same as reference

remove the list given and add..

FILTER..
INSTANT..
BLACK..
COLD COFFEE..
	-the brand chimp
----
same as reference

TEA IS ALWAYS 
A GOOD IDEA

Item : Pepper Tea.
	-the brand chimp
----
Soda HAR-BAR

CHOOSE YOUR SODA- BUDDY

BLUEBERRY -PERI PERI FRENCH FRIES
ORANGE -PANEER POPCORN
MASALA -CHICKEN STRIPS

replace Chai with Soda
	-the brand chimp
----
same as reference

GREEN TEA
TULASI TEA
GREEN AMLA MINT TEA
HIBISCUS TEA
	-the brand chimp
----
same as reference

Chicken Lollipop
Peri Peri french fries
Virgin Mojito
	-the brand chimp
----
same as reference

French fries
veg Nuggets
Cheese Balls
and an elements of sauce and cheese beside..

remove newest super meal..
	-the brand chimp
----
same as reference

Peri Peri Chicken Burger
Zinger Chicken Burger
Chicken Burger
	-the brand chimp
----
same as reference

Sad me + One Two Tea ki special chai = Happy me
	-the brand chimp
----
same as reference
	-the brand chimp
----
same as reference

Item Name:
HIBISCUS TEA
GREEN TEA
	-the brand chimp
----
same as reference

Item Name: Lemon Tea
	-the brand chimp
----
same as reference,

Summer Drinks to #BeatTheHeat

Item names:

Mango Mojito: Sweet, Fruity, Mango Sip!
Green Apple Mojito: Refreshing, Chill, Green Sip!
Strawberry Mojito: Sparkling, Spritzer, Berry Sip!
Virgin Mojito: Refreshing, Tart, Mojito Sip!
Watermelon Mojito: Blend, Squeeze, Sip!
Blue Ocean Mojito: Tropical, Calming, Oceanic!
	-the brand chimp","Experience heaven in every bite of Chicken Burger is featured in this creative.
	-the brand chimp
----
An animated video featuring Blueberry soda and its benefits.
	-the brand chimp
----
A creative to be designed wishing our audience Happy Doctor's Day!
	-the brand chimp
----
A soothing video featuring hot beverages for the monsoon
	-the brand chimp
----
Here is a creative take on your definition of tea
	-the brand chimp
----
A creative featuring how mojitos make good times great.
	-the brand chimp
----
A creative illustrating how to enjoy this MONSOON over a  CUP OF TEA in conversation with your Besties.
	-the brand chimp
----
A creative describing how French Fries at One two tea  is the all-time best snack for your cravings.
	-the brand chimp
----
A creative to be designed featuring Chicken Wings and posted with a catchy liner added to it.
	-the brand chimp
----
A creative is designed describing how to kill the hunger with delicious Tandoori Chicken Zinger Burger
	-the brand chimp
----
A creative to be designed featuring the mentioned shake and posted with a catchy liner added to it.
	-the brand chimp
----
A creative designed featuring three varieties of Milk Tea.
	-the brand chimp
----
A creative to be designed featuring CHILLI CHEESE MAGGI and a catchy liner added to it.
	-the brand chimp
----
A creative to be designed wishing our audience Happy Father's Day!
	-the brand chimp
----
An animated video to be curated featuring six varieties of items from the menu.
	-the brand chimp
----
Here's a video celebrating endless moments together with our mocktails
	-the brand chimp
----
Animated video featuring dry fruit as a milkshake and a Lassi
	-the brand chimp
----
A creative to be designed featuring the three TidBits -kodi chips, Chicken wings & 
Karampodi Paneer Popcorn
served as a combo.
	-the brand chimp
----
A creative is designed featuring the mentioned snack.
	-the brand chimp
----
Creative designed to choose from the variety of items.
	-the brand chimp
----
A creative is designed showing how to elevate your weekend with Chocolate cold coffee.
	-the brand chimp
----
an animated video to be curated depicting cups of positivity.
	-the brand chimp
----
.
	-the brand chimp
----
A creative to be designed featuring Karampodi Paneer Popcorn &
Paneer Burger for your tasty evenings.
	-the brand chimp
----
A creative to be designed featuring the three Thrills - Chicken  Maggi,
Chicken Strips &
Masala Soda served as a combo.
	-the brand chimp
----
A creative to be designed featuring veg Nuggets- an ideal snack.
	-the brand chimp
----
A creative to be designed featuring the mentioned shake and posted with a catchy liner added to it.
	-the brand chimp
----
A creative that illustrates the variety of flavoured teas.
	-the brand chimp
----
A creative is designed describing Peri Peri French Fries, Veg Burger and watermelon Mojito -the ultimate trio.
	-the brand chimp
----
Same as reference
	-the brand chimp
----
A creative designed depicting good book with a cup of tea. 
The perfect duo for a cozy, relaxing escape.""
	-the brand chimp
----
A creative to be designed wishing  our audiences a Happy Mother's Day!
	-the brand chimp
----
An animated video to be curated featuring varities of chai.
	-the brand chimp
----
A creative to be designed reminding the audience a quick Coffee break to savor the rich, aromatic flavor of our favorite brew
	-the brand chimp
----
A creative that illustrates how Chai is always a good idea .
	-the brand chimp
----
A creative to be designed featuring 3 Snacks with Refreshing sodas and a catchy liner added to it
	-the brand chimp
----
An animated video to be curated featuring all the Herbal Tea served.
	-the brand chimp
----
A creative to be designed featuring the mentioned snack and posted with a catchy liner added to it.
	-the brand chimp
----
A creative to be designed featuring the three TidBits -French fries, Veg Nuggets, Cheese Balls served as a  combo.
	-the brand chimp
----
An animated video to be curated showcasing the deliciousness of our Burgers.
	-the brand chimp
----
One cup of one two tea ki Chai is all it takes to make you feel completely happy,
	-the brand chimp
----
A creative is made to discover the magic of tea as the ultimate mood lifter for all your problems.
	-the brand chimp
----
A creative will be created that demonstrates how Tea lovers can unwind with our energising tea.
	-the brand chimp
----
A creative to be designed how chai boost to kickstart your day to revitalize your mind and body!
	-the brand chimp
----
An animated video to be curated to stay cool this summer with our most delicious and refreshing mocktails with a catchy caption added to it.
	-the brand chimp"
Monsoon Special (R),"same as reference 

delete jhuri pakoda and mention

MONSOON MADNESS

item:
PANEER POPCORN
GINGER LEMON TEA
	-the brand chimp","Make your monsoon flavourful with our Panner pakoda with ginger lemon tea.
	-the brand chimp"
Breakfast Calling,"same as reference  ( 1st Link)
delete your breakfast and write
Your Morning Tea

and delete time 7 and write 

5:59am 
item name: Masala Tea

for content can chk once the second link
	-the brand chimp","An animated video showcasing our delicious breakfast offerings!
	-the brand chimp"
Savor Wellness,"same as reference
even the caption

delete the like fresh and real juice

item name 
MULBERRY Milkshake
	-the brand chimp","A creative designed featuring Mulberry Milkshake.
	-the brand chimp"
Independence Day,"Sip, Salute, and Celebrate
HAPPY 77th INDEPENDENCE DAY
	-the brand chimp","A creative to be designed wishing our audience Happy Independence  Day!
	-the brand chimp"
Recharge ,"same as reference

one two tea chai
	-the brand chimp","Recharge your mood with a one two tea ki chai
	-the brand chimp"
Fulfill your cravings now! (R),"same as reference.

Chicken Wings
	-the brand chimp","a creative is designed to Experience heart-skipping delight with our chicken Wings.
	-the brand chimp"
FRY-DAY Fun (R),"same as reference
	-the brand chimp","A creative designed  featuring  French fries !
	-the brand chimp"
Coffee Bliss,"Item Name: Black Coffee
	-the brand chimp","An animated video to be curated featuring Black coffee.
	-the brand chimp"
Raksha Bandhan,"A Cup of tea toast the unbreakable bond of Rakhi!
	-the brand chimp","A creative to be designed wishing our audience Happy Raksha Bandhan.
	-the brand chimp"
Delightful Options,"same as refeence 
caption same

item:
CHEESE POPS
PANEER BURGER
CHICKEN FRIES
CHICKEN POPCORN
VEG NUGGETS
SCHEZWAN CHICKEN MAGGI
	-the brand chimp","An animated video showcasing a variety of delicious choices.
	-the brand chimp"
Delicious Duo,"same as reference
	-the brand chimp","Here's a creative showing how Burgers and french fries are -a perfect Combo.
	-the brand chimp"
Milk Refreshers,"same as reference
delete frappe and write Milk Beverages

caption :
Enjoy sweet & cool
Milk Beverages

item name: 
COLD BADAM MILK
ROSE MILK
	-the brand chimp","A creative designed featuring the mentioned milk beverages .
	-the brand chimp"
Delicious Maggi,"same as reference 

caption: 

IT'S TIME FOR SOME MAGGI
OR
IT'S MAGGI-O-CLOCK

item: TANDOORI CHICKEN MAGGI
	-the brand chimp","A creative designed showcasing Maggi as the perfect hunger solution anytime.
	-the brand chimp"
celebration of happiness,"same as reference 
caption as well

delete royal dining restaurant

items:
Veg Nuggets
Veg Burger
Instant Coffee
	-the brand chimp","A creative designed featuring  Friends and delicious food.
	-the brand chimp"
Pure Brew,"same as reference
item: Black coffee
or
Ginger Lemon Tea
No quotes, just great tea.
/ Savor the essence of exceptional tea./Savor the Simplicity
	-the brand chimp","An animated video to be curated featuring Black coffee/Ginger Lemon Tea
	-the brand chimp"
Doctors day,"same as reference
	-the brand chimp
----
item name: Green Amla Mint
	-the brand chimp
----
same as reference
one two tea cup
	-the brand chimp
----
same as reference
Treat your dad on Father's Day
	-the brand chimp
----
caption:

Summertime Bliss: Snacks, Sips, and Sunshine!

Items:
Masala Tea
Zinger chicken Burger
Cheese Balls
Mango  Lassi
Cold Badam Milk 
Strawberry Shake
	-the brand chimp
----
same as reference 
caption same as reference

Items:
VIRGIN MOJITO
ORANGE MOJITO
	-the brand chimp
----
same as reference

Items:
CHICKEN WINGS
KARAMPODI PANEER POPCORN
FRENCH FRIES
	-the brand chimp
----
same as reference
	-the brand chimp
----
same as reference

Item:
CHOCOLATE COLD COFFEE
	-the brand chimp
----
same as reference
	-the brand chimp
----
caption: 

It's Snack Time!

same as reference

Items:
CHILLI CHEESE CHICKEN MAGGI
CHICKEN STRIPS
MASALA SODA
	-the brand chimp
----
same as reference
item name: VEG NUGGETS
	-the brand chimp
----
same as reference
Item: OREO MILKSHAKE

delete this line..its not just a shake,its

only this caption belowthe dotted line
A Glass Full of Goodness
	-the brand chimp
----
same as reference
	-the brand chimp
----
caption: same as reference
items:
PERI PERI FRENCH FRIES
VEG BURGER
WATERMELON MOJITO
	-the brand chimp
----
item name: Green Amla Mint
	-the brand chimp
----
same as Reference
caption:
""Chai-derful Mom Deserves the Best Brew on Mother's Day!""
	-the brand chimp
----
same as reference

Item names:

Ginger Tea
Masala Tea
Elachi Tea
Bellam Tea
Badam Tea
	-the brand chimp
----
same as reference..

instead of chaibar bar 
write One Two Tea
	-the brand chimp
----
same as reference

remove the list given and add..

FILTER..
INSTANT..
BLACK..
COLD COFFEE..
	-the brand chimp
----
same as reference

TEA IS ALWAYS 
A GOOD IDEA

Item : Pepper Tea.
	-the brand chimp
----
Soda HAR-BAR

CHOOSE YOUR SODA- BUDDY

BLUEBERRY -PERI PERI FRENCH FRIES
ORANGE -PANEER POPCORN
MASALA -CHICKEN STRIPS

replace Chai with Soda
	-the brand chimp
----
same as reference

GREEN TEA
TULASI TEA
GREEN AMLA MINT TEA
HIBISCUS TEA
	-the brand chimp
----
same as reference

Chicken Lollipop
Peri Peri french fries
Virgin Mojito
	-the brand chimp
----
same as reference

French fries
veg Nuggets
Cheese Balls
and an elements of sauce and cheese beside..

remove newest super meal..
	-the brand chimp
----
same as reference

Peri Peri Chicken Burger
Zinger Chicken Burger
Chicken Burger
	-the brand chimp
----
same as reference

Sad me + One Two Tea ki special chai = Happy me
	-the brand chimp
----
same as reference
	-the brand chimp
----
same as reference

Item Name:
HIBISCUS TEA
GREEN TEA
	-the brand chimp
----
same as reference

Item Name: Lemon Tea
	-the brand chimp
----
same as reference,

Summer Drinks to #BeatTheHeat

Item names:

Mango Mojito: Sweet, Fruity, Mango Sip!
Green Apple Mojito: Refreshing, Chill, Green Sip!
Strawberry Mojito: Sparkling, Spritzer, Berry Sip!
Virgin Mojito: Refreshing, Tart, Mojito Sip!
Watermelon Mojito: Blend, Squeeze, Sip!
Blue Ocean Mojito: Tropical, Calming, Oceanic!
	-the brand chimp","A creative to be designed wishing our audience Happy Doctor's Day!
	-the brand chimp
----
A creative to be designed wishing our audience Happy Father's Day!
	-the brand chimp
----
An animated video to be curated featuring six varieties of items from the menu.
	-the brand chimp
----
Here's a video celebrating endless moments together with our mocktails
	-the brand chimp
----
A creative to be designed featuring the three TidBits -kodi chips, Chicken wings & 
Karampodi Paneer Popcorn
served as a combo.
	-the brand chimp
----
A creative is designed featuring the mentioned snack.
	-the brand chimp
----
A creative is designed showing how to elevate your weekend with Chocolate cold coffee.
	-the brand chimp
----
an animated video to be curated depicting cups of positivity.
	-the brand chimp
----
.
	-the brand chimp
----
A creative to be designed featuring the three Thrills - Chicken  Maggi,
Chicken Strips &
Masala Soda served as a combo.
	-the brand chimp
----
A creative to be designed featuring veg Nuggets- an ideal snack.
	-the brand chimp
----
A creative to be designed featuring the mentioned shake and posted with a catchy liner added to it.
	-the brand chimp
----
A creative that illustrates the variety of flavoured teas.
	-the brand chimp
----
A creative is designed describing Peri Peri French Fries, Veg Burger and watermelon Mojito -the ultimate trio.
	-the brand chimp
----
Same as reference
	-the brand chimp
----
A creative designed depicting good book with a cup of tea. 
The perfect duo for a cozy, relaxing escape.""
	-the brand chimp
----
A creative to be designed wishing  our audiences a Happy Mother's Day!
	-the brand chimp
----
An animated video to be curated featuring varities of chai.
	-the brand chimp
----
A creative to be designed reminding the audience a quick Coffee break to savor the rich, aromatic flavor of our favorite brew
	-the brand chimp
----
A creative that illustrates how Chai is always a good idea .
	-the brand chimp
----
A creative to be designed featuring 3 Snacks with Refreshing sodas and a catchy liner added to it
	-the brand chimp
----
An animated video to be curated featuring all the Herbal Tea served.
	-the brand chimp
----
A creative to be designed featuring the mentioned snack and posted with a catchy liner added to it.
	-the brand chimp
----
A creative to be designed featuring the three TidBits -French fries, Veg Nuggets, Cheese Balls served as a  combo.
	-the brand chimp
----
An animated video to be curated showcasing the deliciousness of our Burgers.
	-the brand chimp
----
One cup of one two tea ki Chai is all it takes to make you feel completely happy,
	-the brand chimp
----
A creative is made to discover the magic of tea as the ultimate mood lifter for all your problems.
	-the brand chimp
----
A creative will be created that demonstrates how Tea lovers can unwind with our energising tea.
	-the brand chimp
----
A creative to be designed how chai boost to kickstart your day to revitalize your mind and body!
	-the brand chimp
----
An animated video to be curated to stay cool this summer with our most delicious and refreshing mocktails with a catchy caption added to it.
	-the brand chimp"
Burger Bonanza,"same as reference
item name:
Tandoori Chicken Zinger Burger

if the same reference is disapproved by sir then use this:

Flavorful Bliss in Every Bite
	-the brand chimp","A creative is designed describing how to kill the hunger with delicious Tandoori Chicken Zinger Burger
	-the brand chimp"
Sip Serenity (R),"Items:

GINGER TEA
MASALA TEA
BADAM TEA

remove the entire content out there in the reference 
just add this caption :
Milk tea party
	-the brand chimp","A creative designed featuring three varieties of Milk Tea.
	-the brand chimp"
Rainy Chit-Chat (R),"same as reference
	-the brand chimp","A creative illustrating how to enjoy this MONSOON over a  CUP OF TEA in conversation with your Besties.
	-the brand chimp"
Cookie Bliss,"same as reference

OREO SHAKE
	-the brand chimp","A creative to be designed featuring the mentioned shake and posted with a catchy liner added to it.
	-the brand chimp"
Tranquilizing hot beverages(R),"same as reference

Embrace spring's bloom and fading sun, savor serene moments with a hot drink at ONE TWO TEA.

Savor the spring blooms and fading sun with soothing moments at ONE TWO TEA.





one two tea+ green tea+ Lemon tea
	-the brand chimp","A soothing video featuring hot beverages for the monsoon
	-the brand chimp"
Flavorful Munch,"check both the reference
check with me once before doing
Enjoy French Fries, Chicken Popcorn, Chicken Strips and Rain
items:
CHICKEN POPCORN
FRENCH FRIES
CHICKEN STRIPS
	-the brand chimp","A creative to be designed featuring Karampodi Paneer Popcorn &
Paneer Burger for your tasty evenings.
	-the brand chimp"
Mojito Madness,"same as reference
caption same as reference

Item names:
WATER MELON MOJITO
GREEN APPLE MOJITO

delete Natural Variyali
	-the brand chimp","A creative featuring how mojitos make good times great.
	-the brand chimp"
Fry Fiesta,"same as reference
	-the brand chimp","A creative describing how French Fries at One two tea  is the all-time best snack for your cravings.
	-the brand chimp"
love at first bite (R),"items
CHILLI CHEESE MAGGI

delete world emoji day
	-the brand chimp","A creative to be designed featuring CHILLI CHEESE MAGGI and a catchy liner added to it.
	-the brand chimp"
Nutty Fusion,"items:

DRY FRUIT LASSI
DRY FRUIT PREMIUM MILKSHAKE
	-the brand chimp","Animated video featuring dry fruit as a milkshake and a Lassi
	-the brand chimp"
Food Variety,"SCHEZWAN MAGGI
CHEESE BALLS
CHICKEN BURGER
	-the brand chimp","Creative designed to choose from the variety of items.
	-the brand chimp"
Sip Imagination (R),"same as reference
	-the brand chimp","Here is a creative take on your definition of tea
	-the brand chimp"
Golden Delights,"same as reference
remove grilled and write fried
remove the first line and add item name:
CHICKEN WINGS
second line: same as reference.
remove order now as well.
	-the brand chimp","A creative to be designed featuring Chicken Wings and posted with a catchy liner added to it.
	-the brand chimp"
Blueberry Soda,"Item name :
BLUE BERRY soda

delete the entire content

Blueberry Bliss: Sip, Savor, and Boost!
Benefit: Packed with antioxidants- rich, natural goodness in every sip.
	-the brand chimp","An animated video featuring Blueberry soda and its benefits.
	-the brand chimp"
Uplifted vibes,"same as reference
	-the brand chimp
----
same as Reference
caption:
""Chai-derful Mom Deserves the Best Brew on Mother's Day!""
	-the brand chimp
----
same as reference

Item names:

Ginger Tea
Masala Tea
Elachi Tea
Bellam Tea
Badam Tea
	-the brand chimp
----
same as reference..

instead of chaibar bar 
write One Two Tea
	-the brand chimp
----
same as reference

remove the list given and add..

FILTER..
INSTANT..
BLACK..
COLD COFFEE..
	-the brand chimp
----
same as reference

TEA IS ALWAYS 
A GOOD IDEA

Item : Pepper Tea.
	-the brand chimp
----
Soda HAR-BAR

CHOOSE YOUR SODA- BUDDY

BLUEBERRY -PERI PERI FRENCH FRIES
ORANGE -PANEER POPCORN
MASALA -CHICKEN STRIPS

replace Chai with Soda
	-the brand chimp
----
same as reference

GREEN TEA
TULASI TEA
GREEN AMLA MINT TEA
HIBISCUS TEA
	-the brand chimp
----
same as reference

Chicken Lollipop
Peri Peri french fries
Virgin Mojito
	-the brand chimp
----
same as reference

French fries
veg Nuggets
Cheese Balls
and an elements of sauce and cheese beside..

remove newest super meal..
	-the brand chimp
----
same as reference

Peri Peri Chicken Burger
Zinger Chicken Burger
Chicken Burger
	-the brand chimp
----
same as reference

Sad me + One Two Tea ki special chai = Happy me
	-the brand chimp
----
same as reference
	-the brand chimp
----
same as reference

Item Name:
HIBISCUS TEA
GREEN TEA
	-the brand chimp
----
same as reference

Item Name: Lemon Tea
	-the brand chimp
----
same as reference,

Summer Drinks to #BeatTheHeat

Item names:

Mango Mojito: Sweet, Fruity, Mango Sip!
Green Apple Mojito: Refreshing, Chill, Green Sip!
Strawberry Mojito: Sparkling, Spritzer, Berry Sip!
Virgin Mojito: Refreshing, Tart, Mojito Sip!
Watermelon Mojito: Blend, Squeeze, Sip!
Blue Ocean Mojito: Tropical, Calming, Oceanic!
	-the brand chimp","an animated video to be curated depicting cups of positivity.
	-the brand chimp
----
A creative designed depicting good book with a cup of tea. 
The perfect duo for a cozy, relaxing escape.""
	-the brand chimp
----
A creative to be designed wishing  our audiences a Happy Mother's Day!
	-the brand chimp
----
An animated video to be curated featuring varities of chai.
	-the brand chimp
----
A creative to be designed reminding the audience a quick Coffee break to savor the rich, aromatic flavor of our favorite brew
	-the brand chimp
----
A creative that illustrates how Chai is always a good idea .
	-the brand chimp
----
A creative to be designed featuring 3 Snacks with Refreshing sodas and a catchy liner added to it
	-the brand chimp
----
An animated video to be curated featuring all the Herbal Tea served.
	-the brand chimp
----
A creative to be designed featuring the mentioned snack and posted with a catchy liner added to it.
	-the brand chimp
----
A creative to be designed featuring the three TidBits -French fries, Veg Nuggets, Cheese Balls served as a  combo.
	-the brand chimp
----
An animated video to be curated showcasing the deliciousness of our Burgers.
	-the brand chimp
----
One cup of one two tea ki Chai is all it takes to make you feel completely happy,
	-the brand chimp
----
A creative is made to discover the magic of tea as the ultimate mood lifter for all your problems.
	-the brand chimp
----
A creative will be created that demonstrates how Tea lovers can unwind with our energising tea.
	-the brand chimp
----
A creative to be designed how chai boost to kickstart your day to revitalize your mind and body!
	-the brand chimp
----
An animated video to be curated to stay cool this summer with our most delicious and refreshing mocktails with a catchy caption added to it.
	-the brand chimp"
Harmony of Flavors(R),"caption: same as reference
items:
PERI PERI FRENCH FRIES
VEG BURGER
WATERMELON MOJITO
	-the brand chimp","A creative is designed describing Peri Peri French Fries, Veg Burger and watermelon Mojito -the ultimate trio.
	-the brand chimp"
Tea Temptation,"same as reference
	-the brand chimp","A creative that illustrates the variety of flavoured teas.
	-the brand chimp"
Creamy Delight,"same as reference
Item: OREO MILKSHAKE

delete this line..its not just a shake,its

only this caption belowthe dotted line
A Glass Full of Goodness
	-the brand chimp","A creative to be designed featuring the mentioned shake and posted with a catchy liner added to it.
	-the brand chimp"
A Tempting Menu (R),"caption:

Summertime Bliss: Snacks, Sips, and Sunshine!

Items:
Masala Tea
Zinger chicken Burger
Cheese Balls
Mango  Lassi
Cold Badam Milk 
Strawberry Shake
	-the brand chimp","An animated video to be curated featuring six varieties of items from the menu.
	-the brand chimp"
Veg Delight,"same as reference
item name: VEG NUGGETS
	-the brand chimp","A creative to be designed featuring veg Nuggets- an ideal snack.
	-the brand chimp"
Affordable Excitement,"caption: 

It's Snack Time!

same as reference

Items:
CHILLI CHEESE CHICKEN MAGGI
CHICKEN STRIPS
MASALA SODA
	-the brand chimp","A creative to be designed featuring the three Thrills - Chicken  Maggi,
Chicken Strips &
Masala Soda served as a combo.
	-the brand chimp"
Let's Toast(R),"same as reference 
caption same as reference

Items:
VIRGIN MOJITO
ORANGE MOJITO
	-the brand chimp","Here's a video celebrating endless moments together with our mocktails
	-the brand chimp"
Father's Day creative,"same as reference
Treat your dad on Father's Day
	-the brand chimp","A creative to be designed wishing our audience Happy Father's Day!
	-the brand chimp"
Tantalizing Tastes,"same as reference

Items:
CHICKEN WINGS
KARAMPODI PANEER POPCORN
FRENCH FRIES
	-the brand chimp","A creative to be designed featuring the three TidBits -kodi chips, Chicken wings & 
Karampodi Paneer Popcorn
served as a combo.
	-the brand chimp"
Cocoa Retreat,"same as reference

Item:
CHOCOLATE COLD COFFEE
	-the brand chimp","A creative is designed showing how to elevate your weekend with Chocolate cold coffee.
	-the brand chimp"
Chicken Popcorn,"same as reference
	-the brand chimp","A creative is designed featuring the mentioned snack.
	-the brand chimp"
Nightime Serenity,"item name: Green Amla Mint
	-the brand chimp","Same as reference
	-the brand chimp"
